1,Tortilla Chips & Dips,"Tortilla Chips with a selection of dips, salsa, sour cream and guacamole",TRUE,FALSE,TRUE,60,3.29,TRUE,1, http://personal.rhul.ac.uk/zfac/242/Team16/Tortilla Chips & Dips.jpg
2,Mexico City nachos,"Nachos with Trealy Farm chorizo, cheese sauce, tomatillo &  avocado salsa",FALSE,FALSE,FALSE,120,5.95,TRUE,1, http://personal.rhul.ac.uk/zfac/242/Team16/Mexico City nachos.jpg
3,Veggie nachos,"Nachos with cheese sauce, tomatillo & avacado salsa",TRUE,TRUE,TRUE,80,5.25,TRUE,1, http://personal.rhul.ac.uk/zfac/242/Team16/Veggie nachos.jpg
4,Roast tomato salsa with tortilla chips,"Roast tomato salsa with tortilla chips , a fresh lime and a touch of chilli",TRUE,FALSE,TRUE,100,3.95,TRUE,1, http://personal.rhul.ac.uk/zfac/242/Team16/Roast tomato salsa with tortilla chips.jpg
5,Hot Habanero Chicken Strips,served with small nachos and sour cream dip,FALSE,FALSE,FALSE,250,7.45,TRUE,1, http://personal.rhul.ac.uk/zfac/242/Team16/Hot Habanero Chicken Strips.jpg
6,Grilled tenderstem broccoli,Tossed in lime juice & ajillo dressing served with marinated red cabbage,TRUE,TRUE,TRUE,300,3.95,TRUE,2, http://personal.rhul.ac.uk/zfac/242/Team16/Grilled tenderstem broccoli.jpg
7,Sweet potato,Crispy fried chunks tossed in smokey caramelised garlic mojo de ajo,TRUE,FALSE,TRUE,280,3.95,TRUE,2, http://personal.rhul.ac.uk/zfac/242/Team16/Sweet potato.jpg
8,Frijoles,Creamy black beans served with crumbled cheese & crema,TRUE,FALSE,TRUE,250,3.25,TRUE,2, http://personal.rhul.ac.uk/zfac/242/Team16/Frijoles.jpg
9,Green Salad,"with avocado, corn & beans, topped with pumpkin seeds",TRUE,TRUE,TRUE,350,4.25,TRUE,2, http://personal.rhul.ac.uk/zfac/242/Team16/Green Salad.jpg
10,Onion Rings,Served with a sour cream sauce,FALSE,FALSE,TRUE,430,3.25,TRUE,2, http://personal.rhul.ac.uk/zfac/242/Team16/Onion Rings.jpg
11,Pork pibil Tacos,"slow cooked in citrus & spices, with pink pickled onions",FALSE,FALSE,FALSE,550,4.99,TRUE,3, http://personal.rhul.ac.uk/zfac/242/Team16/Pork pibil Tacos.jpg
12,Steak & cheese,"Chargrilled steak served with grilled cheese, chipotle salsa & avocado",FALSE,FALSE,FALSE,650,10.99,TRUE,3, http://personal.rhul.ac.uk/zfac/242/Team16/Steak & cheese.jpg
13,Black bean & three cheese,Served with smoky beans & avocado leaf,FALSE,FALSE,TRUE,450,6.99,TRUE,3, http://personal.rhul.ac.uk/zfac/242/Team16/Black bean & three cheese.jpg
14,Grilled chicken club,"Served with avocado, lettuce, melted cheese & chipotle mayo",FALSE,FALSE,FALSE,520,6.49,TRUE,3, http://personal.rhul.ac.uk/zfac/242/Team16/Grilled chicken club.jpg
15,Roasted butternut squash Tacos,"With a creamy cashew nut and herb mole, citrusy tomatillo salsa and pumpkin seeds",TRUE,TRUE,TRUE,420,5.59,TRUE,3, http://personal.rhul.ac.uk/zfac/242/Team16/Roasted butternut squash Tacos.jpg
16,Churros,Crips mexican doughnuts with rich chocolate sauce,TRUE,FALSE,TRUE,600,5.25,TRUE,4, http://personal.rhul.ac.uk/zfac/242/Team16/Churros.jpg
17,Ice cream & sorbets,Served with a crisp cinnamon dusted bunuelo pastry and a salted caramel and vanilla sauce,FALSE,FALSE,FALSE,580,5.75,TRUE,4, http://personal.rhul.ac.uk/zfac/242/Team16/Ice cream & sorbets.jpg
18,Caramel Flan,Creamy flan tyoped with cajeta caramel,FALSE,FALSE,FALSE,330,5.25,TRUE,4, http://personal.rhul.ac.uk/zfac/242/Team16/Caramel Flan.jpg
19,Chocolate & pecan brownie,With salted caramel ice cream & dulce de leche sauce,FALSE,FALSE,FALSE,430,5.95,TRUE,4, http://personal.rhul.ac.uk/zfac/242/Team16/Chocolate & pecan brownie.jpg
20,Fruit salad,"apple,watermelon, grapes and banana",TRUE,TRUE,TRUE,200,6,TRUE,4, http://personal.rhul.ac.uk/zfac/242/Team16/Fruit salad.jpg
